,Change,Shares,DataSize,LoseStreak,Invested
ILMN,1.7093443469282394,11,3056,8,1937
AGN,0.7983682983682984,15,3056,9,2574
ECL,1.267071320182094,5,3056,8,659
ICE,1.1735419630156472,22,3056,9,1406
EMR,1.0597269624573378,18,3056,9,1172
HUM,1.8535127055306428,8,3056,9,1338
KMB,1.475206611570248,12,3056,7,968
AON,1.1548791405550582,15,3056,12,2234
CTSH,1.7475728155339805,5,3056,8,206
PSX,1.1616766467065869,6,1727,9,501
BBT,1.0166112956810631,6,3056,9,301
AEP,1.5735607675906182,18,3056,8,938
APD,1.5262860373092142,15,3056,9,1769
PRU,1.0351089588377724,18,3056,10,1652
WM,1.524390243902439,10,3056,9,656
ADI,1.2874493927125505,3,3056,7,247
COF,0.9200363471149478,25,3056,12,2201
AMAT,1.481012658227848,3,3056,7,79
AIG,0.28550969925790914,51,3056,15,7681
HCA,3.4932614555256065,9,2002,9,371
TGT,0.9693343305908751,18,3056,9,1337
USD,2.5535714285714284,44,3036,8,672
AFL,1.1256756756756756,17,3056,9,740
BAX,1.3842281879194631,11,3056,10,596
KMI,0.46060606060606063,44,2020,9,1815
EW,1.2490974729241877,6,3056,9,831
SHW,1.918206352501557,21,3056,10,4817
MAR,1.7587433313574392,23,3056,11,1687
VLO,1.2686567164179106,9,3056,10,603
FIS,1.7351351351351352,6,3056,7,370
ADSK,3.9193548387096775,6,3056,8,248
ROST,1.2464088397790056,12,3056,10,905
ETN,1.1778829895164018,43,3056,15,2957
EL,2.0126582278481013,3,3056,7,237
TRV,1.1536203522504893,18,3056,10,2044
EQIX,2.619276057566507,14,3056,9,2293
F,0.75,32,3056,10,384
FISV,1.0759493670886076,1,3056,7,79
JCI,0.7309644670050761,8,3056,7,394
ROP,3.0407673860911273,12,3056,11,1251
ALL,1.0614525139664805,2,3056,8,179
REGN,1.6175908221797324,20,3056,12,5230
RHT,2.8996478873239435,9,3056,8,568
SYY,1.0334190231362468,6,3056,8,389
ATVI,0.5915492957746479,7,3056,8,497
DAL,0.8387096774193549,2,2973,7,124
DG,1.372093023255814,7,2333,7,602
ORLY,1.4826254826254825,2,3056,7,518
XLNX,1.7789256198347108,7,3056,7,484
PSA,1.0312981015905593,10,3056,9,1949
KHC,0.44554455445544555,27,916,10,2121
STI,1.0731707317073171,22,3056,10,1353
YUM,1.4766839378238341,3,3056,7,193
EA,1.3617021276595744,10,3056,8,705
PEG,1.3571428571428572,1,3056,7,42
ALXN,1.1183625037080984,29,3056,10,3371
MCO,1.5685681904042312,24,3056,9,2647
TEL,1.189199118295371,39,2944,14,2722
APH,1.8120481927710843,16,3056,11,830
GIS,0.9832635983263598,5,3056,8,239
OKE,1.0365853658536586,5,3056,9,328
VFC,1.318007662835249,4,3056,8,261
WELL,1.1194029850746268,8,3056,8,536
LYB,1.0642750373692078,16,2221,10,1338
GLW,1.25,14,3056,10,392
LRCX,2.5510688836104514,6,3056,7,421
LUV,1.411764705882353,4,3056,8,153
HAL,0.5210084033613446,4,3056,9,238
STZ,1.119205298013245,7,3056,11,1057
STT,0.8102893890675241,14,3056,8,1244
EQR,1.091579594345421,24,3056,9,1627
AVB,1.1939086294416243,18,3056,9,2955
PPG,1.6968152866242039,12,3056,11,785
IR,1.3417721518987342,35,3056,12,2765
CNC,1.1341772151898735,7,3056,8,395
MCK,1.2505966587112172,16,3056,11,1676
ZBH,1.3777777777777778,13,3056,8,1170
ED,1.2478260869565216,7,3056,7,460
A,1.5789473684210527,5,3056,8,247
HLT,1.2934782608695652,7,1307,8,460
FOX,1.457142857142857,4,3056,7,140
MTB,1.4770992366412214,9,3056,9,1048
PAYX,1.1223628691983123,14,3056,9,948
PCAR,1.2280701754385965,10,3056,10,570
DLR,1.2810615199034983,9,3056,8,829
DFS,1.1902332361516035,23,2944,10,1372
WEC,1.0814606741573034,5,3056,8,356
ADM,0.9067713444553483,22,3056,9,1019
FTV,0.903010033444816,10,664,11,897
MNST,1.0211267605633803,10,3056,8,568
DLTR,1.4872231686541737,9,3056,8,587
PH,1.2462934277495021,32,3056,19,4519
PXD,1.2114243323442135,23,3056,10,2696
CCL,1.0816666666666668,22,3056,9,1200
TROW,1.1168091168091168,4,3056,9,351
AZO,1.5044539755856152,15,3056,12,9093
VTR,0.9302325581395349,10,3056,10,688
CMI,1.4396284829721362,12,3056,9,1292
PPL,0.8648648648648649,5,3056,8,185
MSI,1.8629407850964737,20,3056,9,1503
IQV,1.5538720538720538,13,1458,11,1188
DTE,1.414448669201521,9,3056,8,789
ES,1.5909090909090908,5,3056,7,220
WLTW,1.2181656277827249,8,3056,9,1123
TWTR,0.6451612903225806,5,1331,8,248
APC,0.5704407951598963,15,3056,8,1157
ROK,1.064570943075616,7,3056,9,1177
TDG,2.287958115183246,2,3056,7,382
APTV,1.0789473684210527,9,1826,10,684
MCHP,1.6240875912408759,15,3056,10,822
CXO,0.909437559580553,9,2909,13,1049
BXP,1.268065268065268,4,3056,8,429
RCL,2.2963503649635038,39,3056,15,2055
SWK,1.2438478747203578,8,3056,8,894
SBAC,4.945945945945946,1,3056,7,37
O,1.8551236749116609,15,3056,8,566
VRSK,1.4265335235378032,24,2360,13,2103
NTRS,1.15527950310559,20,3056,12,1610
UAL,2.593240093240093,25,3056,8,858
CLX,1.4201183431952662,12,3056,8,1352
FLT,1.876543209876543,4,2060,7,486
EIX,1.105072463768116,5,3056,8,276
GPN,0.9968847352024922,5,3056,9,642
FE,0.7093425605536332,5,3056,10,289
HRS,1.6028968014484006,16,3056,9,1657
WY,0.38095238095238093,4,3056,8,273
NUE,1.094170403587444,20,3056,10,1115
INFO,0.8412698412698413,1,1178,7,63
IP,1.1873684210526316,36,3056,9,1425
VRSN,1.523404255319149,8,3056,9,940
FCX,0.6817640047675805,44,3056,13,839
CERN,1.1153846153846154,2,3056,7,104
NEM,0.6830357142857143,17,3056,9,896
TSN,1.054585152838428,23,3056,8,1374
DXC,1.0151515151515151,7,3056,10,462
ESS,1.27437641723356,6,3056,8,1323
AME,1.3530961791831357,26,3056,11,1518
KEY,0.46153846153846156,1,3056,7,39
AMP,1.1524390243902438,7,3056,12,820
ALGN,1.67989417989418,5,3056,8,756
AWK,1.2469135802469136,5,2728,9,405
FAST,1.1666666666666667,17,3056,8,918
FITB,0.7296416938110749,32,3056,11,1228
WAT,1.8937068303914044,21,3056,12,2606
CTAS,3.178470254957507,22,3056,9,1412
IDXX,2.3690176322418135,9,3056,10,794
HIG,1.0616666666666668,13,3056,9,600
AEE,1.1493728620296466,14,3056,14,877
CFG,1.0846905537459284,9,1111,9,307
ULTA,1.5983847283406756,7,2851,9,1362
KLAC,1.6262482168330956,10,3056,9,701
CBS,1.0249671484888305,15,3056,11,761
RSG,2.123762376237624,11,3056,8,404
FRC,1.1087420042643923,5,2064,10,469
MTD,1.7599792638672886,5,3056,8,1929
OMC,1.062937062937063,22,3056,10,1573
LLL,1.9470636889991728,11,3056,9,1209
RF,0.6956521739130435,11,3056,7,253
NTAP,1.6441281138790036,7,3056,9,281
ETR,1.1310810810810812,18,3056,9,1480
MKC,1.140461215932914,4,3056,7,477
CAH,0.8346645367412141,19,3056,11,1252
GPC,1.3991596638655461,18,3056,12,1428
ABMD,2.345514950166113,12,3056,9,1806
MYL,0.6782496782496783,17,3056,10,777
CBRE,1.186046511627907,8,3056,7,344
FANG,1.0246305418719213,4,1599,10,406
HSY,0.990990990990991,11,3056,8,1221
TSS,1.987915407854985,7,3056,8,331
CNP,1.151702786377709,12,3056,8,323
CDNS,1.1176470588235294,2,3056,8,102
SNPS,1.3940774487471526,6,3056,7,439
MSCI,1.7078947368421054,11,2836,9,1140
KEYS,2.005434782608696,9,1093,9,368
MXIM,1.1597633136094674,7,3056,8,338
HBAN,0.84,3,3056,7,50
EXPE,1.295184135977337,18,3056,8,1765
VMC,1.4266175697001577,24,3056,10,1901
LH,1.3635607321131447,11,3056,10,1202
HCP,0.7284595300261096,9,3056,8,383
INCY,1.3513513513513513,20,3056,9,1258
CMG,1.4913657770800628,19,3056,12,7644
K,0.7928902627511591,9,3056,9,647
AJG,1.428680981595092,23,3056,9,1304
ARE,1.7596330275229357,21,3056,10,1635
AAL,0.7323788546255506,19,3056,9,908
ANSS,1.23046875,9,3056,9,1280
LEN,0.8496732026143791,13,3056,11,765
SWKS,1.4884488448844884,11,3056,8,606
SYMC,0.8846153846153846,1,3056,7,26
HES,0.7963460505104782,26,3056,12,1861
ANET,2.5384615384615383,6,1187,9,650
RMD,2.088807785888078,34,3056,8,1644
MGM,1.0175849941383353,62,3056,11,1706
COO,3.813935681470138,17,3056,10,1306
CMA,1.424190800681431,19,3056,11,1174
GWW,1.6193771626297577,9,3056,8,1734
BBY,1.5730337078651686,7,3056,9,267
DRI,3.016835016835017,8,3056,10,297
DVN,0.48736462093862815,9,3056,9,554
MRO,0.5333333333333333,8,3056,7,255
DHI,0.8497409326424871,4,3056,7,193
WCG,5.817330210772834,9,3056,9,427
CE,1.4444444444444444,17,3056,10,1224
BHGE,0.5182724252491694,42,3056,11,2107
WDC,0.8250950570342205,31,3056,10,1841
PFG,1.0023640661938533,8,3056,8,423
CTXS,0.930379746835443,7,3056,10,790
DOV,1.126530612244898,15,3056,12,1225
ABC,1.131578947368421,10,3056,13,760
EFX,1.3214285714285714,4,3056,7,336
XYL,1.1607142857142858,13,1851,11,840
SIVB,1.1894505494505494,11,3056,9,2275
TXT,1.1518324607329844,4,3056,7,191
LNC,1.1755725190839694,22,3056,10,1179
L,1.1214953271028036,5,3056,9,214
IFF,1.123088493356731,35,3056,11,3989
IT,1.8547995139732685,43,3056,11,3292
CINF,1.6821515892420538,8,3056,9,409
EXPD,1.342756183745583,5,3056,7,283
WYNN,1.6035339591385975,22,3056,9,1811
CTL,0.30952380952380953,4,3056,8,168
TFX,2.6102442333785616,27,3056,10,2948
APA,0.4507548526240115,19,3056,10,1391
CHRW,1.3529411764705883,1,3056,7,68
NCLH,0.9016393442622951,3,1534,7,183
FTNT,2.346653346653347,27,2330,8,1001
NRG,1.6342412451361867,10,3056,9,257
HOLX,0.9748148148148148,14,3056,10,675
ETFC,1.1983695652173914,45,3056,11,1840
SJM,1.113806793118659,25,3056,10,2267
FMC,1.306422018348624,8,3056,8,545
MAA,1.5294117647058822,12,3056,9,816
TSCO,1.6134453781512605,8,3056,8,476
DGX,0.8262910798122066,6,278,9,639
VNO,0.843520782396088,10,3056,10,818
MOS,0.6697674418604651,9,3056,9,430
EXR,1.144578313253012,8,3056,9,664
VAR,1.1848552338530067,4,3056,8,449
MLM,1.0955518945634266,7,3056,8,1214
CAG,0.6312178387650086,16,3056,11,583
TAP,0.7503782148260212,16,3056,9,1322
AAP,1.523659305993691,15,3056,13,1585
ATO,2.25,4,3056,7,176
EMN,1.0862068965517242,3,3056,7,232
STX,1.9583333333333333,8,3056,7,192
MAS,1.532258064516129,35,3056,10,868
NBL,0.5062893081761006,14,3056,8,636
KSU,1.4185303514376997,12,3056,9,939
UHS,4.533333333333333,1,3056,7,30
REG,1.0065359477124183,7,3056,8,459
NOV,0.5083207261724659,12,3056,9,661
AKAM,1.2280701754385965,17,3056,10,969
URI,1.7196652719665273,21,3056,10,1673
LNT,0.9583333333333334,1,3056,7,48
CBOE,1.043010752688172,7,2188,8,651
DRE,0.7317073170731707,20,3056,9,820
KMX,1.5795314426633786,21,3056,9,811
RJF,1.4705882352941178,25,3056,11,1428
KSS,0.9152196118488254,14,3056,10,979
COG,0.7741935483870968,4,3056,7,124
PKI,1.1370967741935485,6,3056,7,496
PNW,1.1204819277108433,4,3056,7,332
FFIV,1.0250297973778308,5,3056,8,839
LW,0.8333333333333334,1,573,7,84
JKHY,1.3838150289017341,9,3056,10,865
VIAB,0.43361691157514826,58,3056,13,3879
IRM,0.9230769230769231,3,3056,7,117
TPR,0.7620528771384136,14,3056,9,643
WRK,0.6971201588877854,18,923,10,1007
CF,0.8073394495412844,4,3056,7,218
TTWO,1.3882978723404256,9,3056,9,564
FRT,0.982532751091703,10,3056,10,1374
GRMN,1.378228782287823,9,3056,8,542
NDAQ,1.8182795698924732,19,3056,11,930
HAS,1.568755846585594,39,3056,9,2138
DISCK,0.7692307692307693,30,2625,9,1092
TIF,1.7607573149741824,22,3056,9,1162
ZION,0.9582463465553236,9,3056,8,479
FTI,0.4938650306748466,14,3056,8,652
BEN,0.654643823264202,22,3056,8,1109
JBHT,1.1232481450948062,25,3056,11,2426
HII,1.7510862818125388,13,1994,8,1611
JNPR,0.8,1,3056,7,35
ALB,1.2524834437086092,17,3056,14,1208
XRAY,0.6980609418282548,6,3056,9,361
PKG,1.0315789473684212,2,3056,7,190
RE,1.5594231725509697,14,3056,9,2011
AVY,1.39518555667001,13,3056,8,997
WHR,0.9931972789115646,16,3056,10,2352
HSIC,1.3677811550151975,15,3056,10,658
NLSN,0.49523809523809526,4,2031,8,210
IPG,1.411764705882353,3,3056,7,51
SNA,0.9226361031518625,2,3056,7,349
JEC,1.2392344497607655,14,3056,9,836
HFC,1.3417402269861287,19,3056,9,793
MHK,1.1453058044409816,21,3056,11,2567
PVH,1.6070038910505837,28,3056,10,2056
BWA,0.871841155234657,23,3056,13,1108
ALLE,1.1116600790513833,25,1324,10,2024
TMK,1.360655737704918,14,3056,10,854
UNM,0.9058380414312618,26,3056,8,1062
QRVO,1.1971830985915493,5,1042,9,284
RHI,1.539622641509434,12,3056,9,530
ADS,0.9988518943742825,25,3056,12,4355
ARNC,0.4676674364896074,45,3056,14,1732
IVZ,0.4066147859922179,11,3056,9,514
SLG,1.1444976076555025,13,3056,9,1045
AIV,1.1428571428571428,8,3056,8,350
M,0.6024291497975709,31,3056,9,1235
ALK,0.7604029785370127,28,3056,12,2283
AOS,0.8623279098873592,13,3056,13,799
NWL,0.5683890577507599,11,3056,9,329
DISH,0.9235074626865671,15,3056,12,536
DVA,0.8147295742232451,12,3056,10,869
FLIR,0.9137931034482759,4,3056,7,232
XEC,0.7208809826344769,23,3056,14,2361
PHM,1.75,6,3056,7,96
NKTR,1.2877263581488934,16,3056,8,497
CPB,0.8048780487804879,3,3056,7,123
RL,1.0590687977762334,12,3056,9,1439
FL,3.75,3,3056,7,48
HBI,0.59375,13,3056,7,416
PNR,0.8414872798434442,10,3056,8,511
CPRI,0.6111111111111112,6,1807,10,432
XRX,0.8157894736842105,4,3056,7,152
PRGO,0.6743119266055045,21,3056,11,1526
LB,0.5154545454545455,21,3056,11,1100
HOG,0.9070480081716037,24,3056,10,979
LEG,0.88,22,3056,9,1150
FLS,0.9601167315175098,21,3056,10,1028
HP,0.792,18,3056,11,1250
ROL,0.8764044943820225,4,3056,7,178
TRIP,0.6340057636887608,8,1813,8,694
AMG,0.7286359530261969,37,3056,10,5535
IPGP,2.368763557483731,14,3056,9,922
FLR,0.6905951840072694,40,3056,10,2201
PWR,1.0140845070422535,6,3056,9,213
GPS,0.8314855875831486,15,3056,7,451
BHF,0.7107438016528925,6,2106,9,363
AIZ,0.98,3,3056,8,300
COTY,0.32459016393442625,9,1434,10,305
JWN,1.0393700787401574,3,3056,7,127
NWSA,0.5252525252525253,4,1430,7,99
MAT,0.31217838765008576,13,3056,8,583
MAC,0.529482551143201,10,3056,10,831
DISCA,0.6525,18,3056,11,800
GT,0.946843853820598,15,3056,9,301
UA,0.2247191011235955,1,913,7,89
